Должность,Зарплата,Компания,Ссылка,ЗП_От,ЗП_До,Валюта,ЗП_Средняя
Товарный аналитик маркетплейсов,"150 000 – 200 000 ₽ за месяц, до вычета налогов Опыт 1-3 года Можно удалённо Выплаты: Раз в месяц",ORTAN,https://spb.hh.ru/vacancy/135884028?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,150000.0,RUB,150000.0
Системный аналитик,"110 000 – 140 000 ₽ за месяц, до вычета налогов Опыт 1-3 года Можно удалённо Выплаты: Два раза в месяц",ООО ГРАН ЛИМИТЕД,https://spb.hh.ru/vacancy/135981404?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,110000.0,RUB,110000.0
Системный аналитик,"110 000 – 140 000 ₽ за месяц, до вычета налогов Опыт 1-3 года Можно удалённо Выплаты: Два раза в месяц",ООО ГРАН ЛИМИТЕД,https://spb.hh.ru/vacancy/135981405?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,110000.0,RUB,110000.0
Digital manager / SEO менеджер / Специалист по веб-аналитике и техническому аудиту,"140 000 – 180 000 ₽ за месяц, на руки Опыт 1-3 года Можно удалённо Выплаты: Два раза в месяц",ООО АВД,https://spb.hh.ru/vacancy/135909070?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,140000.0,180000.0,RUB,160000.0
"Аналитик 1С (БИТ ФИНАНС, БП, ЗУП)","до 200 000 ₽ за месяц, на руки Опыт 1-3 года Можно удалённо Выплаты: Два раза в месяц",RFL,https://spb.hh.ru/vacancy/136130545?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,200000.0,RUB,200000.0
Консультант-аналитик 1С,"70 000 – 120 000 ₽ за месяц, до вычета налогов Опыт 1-3 года Можно удалённо",ООО ПРОФ-ИТ,https://spb.hh.ru/vacancy/136776230?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,70000.0,RUB,70000.0
Таможенный аналитик,"130 000 – 180 000 ₽ за месяц, на руки Опыт 1-3 года Можно удалённо Выплаты: Два раза в месяц",ChinaToday,https://spb.hh.ru/vacancy/135667381?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,130000.0,180000.0,RUB,155000.0
Консультант-аналитик Microsoft Dynamics AX,Опыт 1-3 года Можно удалённо,Аби,https://spb.hh.ru/vacancy/135717544?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Трейдер-аналитик (Московская биржа / Срочный рынок),"от 200 000 ₽ за месяц, на руки Опыт 1-3 года Можно удалённо Выплаты: Два раза в месяц",HR.Vision,https://spb.hh.ru/vacancy/136560481?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,200000.0,,RUB,200000.0
Консультант 1С \ Аналитик 1С (удаленно),Опыт 1-3 года Можно удалённо,Odyssey Consulting Group,https://spb.hh.ru/vacancy/135227074?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик 1С (затраты и расчёт себестоимости). Middle/ Senior,"200 000 – 300 000 ₽ за месяц, до вычета налогов Опыт 1-3 года Можно удалённо Выплаты: Два раза в месяц",ООО РостДжоб,https://spb.hh.ru/vacancy/135831139?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,200000.0,RUB,200000.0
Аналитик 1С (складской учёт в ERP). Middle/ Senior,"200 000 – 300 000 ₽ за месяц, на руки Опыт 1-3 года Можно удалённо",ООО РостДжоб,https://spb.hh.ru/vacancy/135830874?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,200000.0,300000.0,RUB,250000.0
Аналитик 1С (казначейство: наличные ДС и эквайринг) Middle/ Senior,"200 000 – 300 000 ₽ за месяц, на руки Опыт 1-3 года Можно удалённо Выплаты: Два раза в месяц",ООО РостДжоб,https://spb.hh.ru/vacancy/135828746?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,200000.0,300000.0,RUB,250000.0
Mobile Media Buyer (Google UAC / Meta),Опыт 1-3 года Можно удалённо,Crezu,https://spb.hh.ru/vacancy/136607305?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Старший аналитик/консультант по информационной безопасности,Опыт 1-3 года Можно удалённо,АльфаСтрахование. ИТ,https://spb.hh.ru/vacancy/136145822?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Системный аналитик (Внедрение ЦФТ),Опыт 1-3 года Можно удалённо,АО Банк ДОМ.РФ IT,https://spb.hh.ru/vacancy/136491236?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик/Разработчик AI,Опыт 1-3 года Можно удалённо,Лига Цифровой Экономики,https://spb.hh.ru/vacancy/135526891?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик/Инженер внедрения ITсистем,Опыт 1-3 года Можно удалённо,ООО ИК СИБИНТЕК,https://spb.hh.ru/vacancy/134742626?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Middle Strategy Manager (Mobile),Опыт 1-3 года Можно удалённо,Mobio,https://spb.hh.ru/vacancy/135638500?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Middle data scientist (модели ценообразования),Опыт 1-3 года Можно удалённо,Альфа-Банк. Центральный офис,https://spb.hh.ru/vacancy/135359356?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Бизнес-аналитик по развитию корпоративных систем 1С,Опыт 1-3 года Можно удалённо Выплаты: Два раза в месяц,ООО Холдинг Аква,https://spb.hh.ru/vacancy/136296463?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
