Должность,Зарплата,Компания,Ссылка,ЗП_От,ЗП_До,Валюта,ЗП_Средняя
Риск-менеджер по аналитике ПВР,Опыт 1-3 года Можно удалённо,Diamond Personnel R&C,https://spb.hh.ru/vacancy/135229128?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
CRM-аналитик (интеграции Mindbox),"до 150 000 ₽ за месяц, до вычета налогов Опыт 1-3 года Можно удалённо",Клерк.Ру,https://spb.hh.ru/vacancy/136681781?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,150000.0,RUB,150000.0
Аналитик рисков | МФО,Опыт 1-3 года Можно удалённо,Lenkep recruitment,https://spb.hh.ru/vacancy/136705281?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Продуктовый аналитик (оформление заказов),Опыт 1-3 года Можно удалённо,Ozon Офис и Коммерция,https://spb.hh.ru/vacancy/134567677?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Старший портфельный аналитик,Опыт 1-3 года Можно удалённо,СВОЙ,https://spb.hh.ru/vacancy/135713243?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Портфельный аналитик,Опыт 1-3 года Можно удалённо,ООО Газпромбанк Автолизинг,https://spb.hh.ru/vacancy/135933754?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Имплант-менеджер/аналитик (X5 «Пятёрочка»),Опыт 1-3 года Можно удалённо,ООО АПХ ЭКО-культура,https://spb.hh.ru/vacancy/136605648?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик СМИ и социальных медиа,"85 000 – 100 000 ₽ за месяц, на руки Опыт 1-3 года Можно удалённо Выплаты: Два раза в месяц",ООО М13,https://spb.hh.ru/vacancy/136656837?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,85000.0,100000.0,RUB,92500.0
Системный/бизнес-аналитик,Опыт 1-3 года Можно удалённо,Правительство Московской области,https://spb.hh.ru/vacancy/136644142?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Middle Finance Data Analyst,Опыт 1-3 года Можно удалённо,Островок.Развитие бизнеса,https://spb.hh.ru/vacancy/136551028?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Бизнес-аналитик,Опыт 1-3 года Можно удалённо,Данафлекс,https://spb.hh.ru/vacancy/136010406?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Консультант аналитик продуктов оформления,Опыт 1-3 года Можно удалённо,ИНВИТРО. ИТ,https://spb.hh.ru/vacancy/133410262?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Сценарист / копирайтер / редактор / контент-аналитик,"100 000 – 200 000 ₽ за месяц, на руки Опыт 1-3 года Можно удалённо Выплаты: Два раза в месяц",ИП Щучинов Павел Николаевич,https://spb.hh.ru/vacancy/136676255?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,100000.0,200000.0,RUB,150000.0
Ведущий аналитик,Опыт 1-3 года Можно удалённо,ПАО Аэрофлот,https://spb.hh.ru/vacancy/136534231?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Продуктовый аналитик в ОК,Опыт 1-3 года Можно удалённо,"VK, Одноклассники",https://spb.hh.ru/vacancy/132461053?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Junior аналитик-автоматизатор (n8n + ИИ-агенты),Без опыта Можно удалённо,Topface Media,https://spb.hh.ru/vacancy/136416208?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик данных,"107 000 – 121 000 ₽ за месяц, до вычета налогов Опыт 1-3 года Можно удалённо",Государственное казенное учреждение Московской области Централизованная бухгалтерия Московской области,https://spb.hh.ru/vacancy/135285800?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,107000.0,RUB,107000.0
Системный аналитик / System analyst,Опыт 1-3 года Можно удалённо,Альфа-Деньги,https://spb.hh.ru/vacancy/135382567?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик,Опыт 1-3 года Можно удалённо,Не указана,https://spb.hh.ru/vacancy/133504880?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Бизнес-аналитик,Опыт 1-3 года Можно удалённо,ПАО Т Плюс,https://spb.hh.ru/vacancy/134539514?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Системный аналитик,Опыт 1-3 года Можно удалённо,ПАО Т Плюс,https://spb.hh.ru/vacancy/134539727?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик,Опыт 1-3 года Можно удалённо,Neoflex,https://spb.hh.ru/vacancy/135374453?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Data Analyst / Аналитик данных,Опыт 1-3 года Можно удалённо,Okkam,https://spb.hh.ru/vacancy/134226236?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик данных / Data analyst,Опыт 1-3 года Можно удалённо,ИП Андреева Руслана,https://spb.hh.ru/vacancy/136305255?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Программист-аналитик 1С,"от 180 000 ₽ за месяц, до вычета налогов Опыт 1-3 года Можно удалённо",Арконт,https://spb.hh.ru/vacancy/136091074?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,180000.0,,RUB,180000.0
Бизнес-аналитик по интеграции,Опыт 1-3 года Можно удалённо,ООО ИК СИБИНТЕК,https://spb.hh.ru/vacancy/136602489?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
BI-разработчик / BI-аналитик,Опыт 1-3 года Можно удалённо,ITFB Group,https://spb.hh.ru/vacancy/136590842?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик,Опыт 1-3 года Можно удалённо,"""МТС"", Аналитика",https://spb.hh.ru/vacancy/136327869?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик QMS,Опыт 1-3 года Можно удалённо,ООО УАЗ,https://spb.hh.ru/vacancy/135295652?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик WMS,Опыт 1-3 года Можно удалённо,ООО УАЗ,https://spb.hh.ru/vacancy/135290504?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик данных (Поддержка и развитие моделей прогнозирования спроса),Опыт 1-3 года Можно удалённо,ДИКСИ. IT,https://spb.hh.ru/vacancy/135427343?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик 1С: УПП (ERP),Опыт 1-3 года Можно удалённо,Группа Компаний Мечел,https://spb.hh.ru/vacancy/130928136?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
CRM-аналитик,"до 150 000 ₽ за месяц, до вычета налогов Опыт 1-3 года Можно удалённо",Клерк.Ру,https://spb.hh.ru/vacancy/136483318?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,150000.0,RUB,150000.0
Системный аналитик,Опыт 1-3 года Можно удалённо,АО ДКС,https://spb.hh.ru/vacancy/136500467?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Стажер-аналитик,Без опыта Можно удалённо,ООО Лоция,https://spb.hh.ru/vacancy/136488909?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Кредитный аналитик (сопровождение кредитования),Опыт 1-3 года Можно удалённо,Финтех,https://spb.hh.ru/vacancy/120599916?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Кредитный аналитик (сопровождение кредитования),Опыт 1-3 года Можно удалённо,Финтех,https://spb.hh.ru/vacancy/132835670?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик / Ведущий специалист по мониторингу и реагированию на инциденты ИБ,Опыт 1-3 года Можно удалённо,"MR Group, группа компаний",https://spb.hh.ru/vacancy/134767540?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Ведущий аналитик Битрикс 24,Опыт 1-3 года Можно удалённо,Группа компаний Стильные Кухни и Интерьеры,https://spb.hh.ru/vacancy/135539024?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик данных,"от 70 000 ₽ за месяц, на руки Без опыта Можно удалённо Выплаты: Два раза в месяц",ООО Торговый Дом Максима,https://spb.hh.ru/vacancy/135953675?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,70000.0,,RUB,70000.0
Продуктовый аналитик,Опыт 1-3 года Можно удалённо,БКС Банк IT & Digital,https://spb.hh.ru/vacancy/136413720?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Системный аналитик,Опыт 1-3 года Можно удалённо,ООО Датаюниверс,https://spb.hh.ru/vacancy/136455978?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Системный / Бизнес аналитик,Опыт 1-3 года Можно удалённо,Altenar,https://spb.hh.ru/vacancy/128486098?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Data engineer+analyst (DWH),"до 150 000 ₽ за месяц, на руки Опыт 1-3 года Можно удалённо",Maxima.tech,https://spb.hh.ru/vacancy/136028980?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,150000.0,RUB,150000.0
Системный аналитик,Опыт 1-3 года Можно удалённо,ООО Точка Качества,https://spb.hh.ru/vacancy/136132733?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик УПП,Опыт 1-3 года Можно удалённо,ООО УАЗ,https://spb.hh.ru/vacancy/135296697?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Руководитель направления аналитики CRM продаж сегмента предпринимательство,Опыт 1-3 года Можно удалённо,Альфа-Банк. Центральный офис,https://spb.hh.ru/vacancy/135920123?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Разработчик BI,"от 150 000 ₽ за месяц, на руки Опыт 1-3 года Можно удалённо Выплаты: Два раза в месяц",ООО Моя Работа,https://spb.hh.ru/vacancy/134479713?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,150000.0,,RUB,150000.0
Аналитик,Опыт 1-3 года Можно удалённо,IBS,https://spb.hh.ru/vacancy/135928747?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Системный аналитик,Опыт 1-3 года Можно удалённо,ООО УралТехИс Ай Ти Групп,https://spb.hh.ru/vacancy/136008505?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
"Продуктовый аналитик, B2B Эквайринг, Ozon Банк",Опыт 1-3 года Можно удалённо,Ozon Банк,https://spb.hh.ru/vacancy/135873774?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Системный аналитик,Опыт 1-3 года Можно удалённо,ПАО КБ Уральский банк реконструкции и развития (УБРиР),https://spb.hh.ru/vacancy/135839981?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Специалист обработки данных видеоаналитики (разметчик) / Аналитик,"от 77 000 ₽ за месяц, до вычета налогов Без опыта Можно удалённо",NVI Solutions LLC,https://spb.hh.ru/vacancy/136740942?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,77000.0,,RUB,77000.0
Младший аналитик (по работе с системой мониторинга),"61 300 ₽ за месяц, на руки Без опыта Можно удалённо Выплаты: Два раза в месяц",ООО Глассен-АйТи,https://spb.hh.ru/vacancy/136570167?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,61300.0,,RUB,61300.0
Junior Product Analyst (Джуниор Продукт Аналитик),Без опыта Можно удалённо,ТОО Denser Technologies,https://spb.hh.ru/vacancy/136297224?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик,"от 100 000 ₽ за месяц, до вычета налогов Опыт 1-3 года Можно удалённо",ИП Шапиро Милана Михайловна,https://spb.hh.ru/vacancy/136788716?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,100000.0,,RUB,100000.0
BI-аналитик,"120 000 – 150 000 ₽ за месяц, на руки Опыт 1-3 года Можно удалённо",ООО Денвик,https://spb.hh.ru/vacancy/136671957?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,120000.0,150000.0,RUB,135000.0
Аналитик данных,Опыт 1-3 года Можно удалённо,СМ Лаб,https://spb.hh.ru/vacancy/134227396?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Junior-специалист по аналитике и автоматизации,"50 000 – 65 000 ₽ за месяц, на руки Опыт 1-3 года Можно удалённо Выплаты: Два раза в месяц",ИП Лизунов Антон Александрович,https://spb.hh.ru/vacancy/136793236?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,50000.0,65000.0,RUB,57500.0
HR-аналитик,"от 85 000 ₽ за месяц, на руки Опыт 1-3 года Можно удалённо Выплаты: Раз в месяц",Playerok,https://spb.hh.ru/vacancy/136561534?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,85000.0,,RUB,85000.0
Финансовый аналитик,Опыт 1-3 года Можно удалённо,Aviasales.ru,https://spb.hh.ru/vacancy/136610268?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Marketing Analyst,Опыт 1-3 года Можно удалённо,AYA GAMES,https://spb.hh.ru/vacancy/136780763?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик,Опыт 1-3 года Можно удалённо,Ozon Офис и Коммерция,https://spb.hh.ru/vacancy/136722590?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Экономист-аналитик,Опыт 1-3 года Можно удалённо,ООО Доставка Морем,https://spb.hh.ru/vacancy/136497268?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Финансовый аналитик/менеджер (сфера HoReCa),"до 100 000 ₽ за месяц, на руки Опыт 1-3 года Можно удалённо Выплаты: Два раза в месяц",Стейк-хаус Антрекот,https://spb.hh.ru/vacancy/136737117?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,100000.0,RUB,100000.0
Аналитик данных,"от 70 000 ₽ за месяц, до вычета налогов Опыт 1-3 года Можно удалённо Выплаты: Два раза в месяц",ASOADS,https://spb.hh.ru/vacancy/136677394?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,70000.0,,RUB,70000.0
Продуктовый аналитик,Опыт 1-3 года Можно удалённо,"МАГНИТ, Розничная сеть. OMNI",https://spb.hh.ru/vacancy/136772866?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик данных (Data Analyst),Опыт 1-3 года Можно удалённо,Совков Артем Вадимович,https://spb.hh.ru/vacancy/136092144?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Системный аналитик,Опыт 1-3 года Можно удалённо,ООО AMANAT TECH,https://spb.hh.ru/vacancy/136407384?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Бизнес-аналитик (начальный уровень),"30 000 – 50 000 ₽ за месяц, до вычета налогов Опыт 1-3 года Можно удалённо Выплаты: Раз в месяц Подработка",ТЕХНОНИКОЛЬ,https://spb.hh.ru/vacancy/136722901?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,30000.0,50000.0,RUB,40000.0
Аналитик EdTech,"от 110 000 ₽ за месяц, на руки Опыт 1-3 года Можно удалённо Выплаты: Раз в месяц",Онлайн-школа для садоводов Strogoorganic,https://spb.hh.ru/vacancy/136097073?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,110000.0,,RUB,110000.0
Аналитик данных,Опыт 1-3 года Можно удалённо,Платформа Больших Данных,https://spb.hh.ru/vacancy/135988487?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик для контент-завода,"80 000 – 150 000 ₽ за месяц, на руки Опыт 1-3 года Можно удалённо Выплаты: Раз в месяц",TIMG,https://spb.hh.ru/vacancy/135905040?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,80000.0,150000.0,RUB,115000.0
Начинающий Системный аналитик,Без опыта Можно удалённо,ИП Табачный Сергей Александрович,https://spb.hh.ru/vacancy/136657863?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик данных (Supply Chain),Опыт 1-3 года Можно удалённо,"Компания «СПОРТМАСТЕР», Офис",https://spb.hh.ru/vacancy/135792755?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Junior BI аналитик,"60 000 – 80 000 ₽ за месяц, на руки Опыт 1-3 года Можно удалённо Выплаты: Два раза в месяц",Сантехника-Онлайн,https://spb.hh.ru/vacancy/136655070?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,60000.0,80000.0,RUB,70000.0
Аналитик данных БКИ,Опыт 1-3 года Можно удалённо,ООО Финтех Айкью,https://spb.hh.ru/vacancy/136661557?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
